Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,4.570000,4.590000,4.350000,4.350000,3.986189,154400
2014-01-03,4.380000,4.380000,4.250000,4.320000,3.958698,120100
2014-01-06,4.350000,4.370000,4.350000,4.350000,3.986189,34500
2014-01-07,4.350000,4.400000,4.350000,4.350000,3.986189,63300
2014-01-08,4.350000,4.370000,4.350000,4.350000,3.986189,649700
2014-01-09,4.360000,4.360000,4.200000,4.200000,3.848734,203800
2014-01-10,4.240000,4.250000,4.180000,4.200000,3.848734,73900
2014-01-13,4.220000,4.420000,4.220000,4.320000,3.958698,106300
2014-01-14,4.320000,4.320000,4.280000,4.280000,3.922043,34400
2014-01-15,4.330000,4.350000,4.250000,4.250000,3.894552,641900
2014-01-16,4.300000,4.300000,4.150000,4.220000,3.867060,71400
2014-01-17,4.250000,4.250000,4.140000,4.200000,3.848734,23200
2014-01-20,4.190000,4.290000,4.140000,4.290000,3.931207,331800
2014-01-21,4.350000,4.350000,4.290000,4.290000,3.931207,46300
2014-01-22,4.320000,4.320000,4.240000,4.310000,3.949534,60100
2014-01-23,4.290000,4.290000,4.210000,4.210000,3.857898,179800
2014-01-24,4.200000,4.200000,4.150000,4.200000,3.848734,13000
2014-01-27,4.150000,4.200000,4.060000,4.080000,3.738770,3553500
2014-01-28,4.140000,4.180000,4.060000,4.060000,3.720443,1107000
2014-01-29,4.090000,4.120000,4.000000,4.080000,3.738770,100300
2014-01-30,4.080000,4.140000,4.000000,4.000000,3.665461,1198800
2014-01-31,4.010000,4.050000,3.940000,3.950000,3.619643,208300
2014-02-03,3.940000,3.940000,3.750000,3.760000,3.445533,228500
2014-02-04,3.750000,3.780000,3.660000,3.740000,3.427206,161800
2014-02-05,3.760000,3.780000,3.650000,3.770000,3.454697,814200
2014-02-06,3.770000,3.910000,3.770000,3.780000,3.463861,119900
2014-02-07,3.790000,3.830000,3.670000,3.830000,3.509679,72500
2014-02-10,3.830000,3.830000,3.600000,3.670000,3.363060,1088700
2014-02-11,3.650000,3.820000,3.650000,3.820000,3.500515,1857500
2014-02-12,3.840000,4.000000,3.750000,4.000000,3.665461,5075100
2014-02-13,4.020000,4.100000,3.870000,3.880000,3.555497,166500
2014-02-14,3.880000,3.900000,3.750000,3.750000,3.436369,139600
2014-02-17,3.740000,3.740000,3.650000,3.700000,3.390551,232300
2014-02-18,3.660000,3.740000,3.650000,3.650000,3.344733,228100
2014-02-19,3.680000,3.790000,3.600000,3.740000,3.427206,2160600
2014-02-20,3.730000,3.770000,3.700000,3.770000,3.454697,450000
2014-02-21,3.850000,3.970000,3.770000,3.800000,3.482188,648700
2014-02-24,3.830000,3.860000,3.800000,3.840000,3.518842,2156800
2014-02-25,3.840000,3.870000,3.820000,3.820000,3.500515,46400
2014-02-26,3.810000,3.820000,3.800000,3.820000,3.500515,94600
2014-02-27,3.730000,3.920000,3.730000,3.820000,3.500515,60800
2014-02-28,3.870000,3.920000,3.800000,3.820000,3.500515,135200
2014-03-05,3.800000,3.800000,3.740000,3.740000,3.427206,76500
2014-03-06,3.800000,3.800000,3.740000,3.750000,3.436369,72600
2014-03-07,3.730000,3.730000,3.660000,3.700000,3.390551,55700
2014-03-10,3.660000,3.690000,3.590000,3.590000,3.289751,63500
2014-03-11,3.590000,3.630000,3.540000,3.560000,3.262260,85600
2014-03-12,3.600000,3.630000,3.530000,3.550000,3.253096,107500
2014-03-13,3.580000,3.590000,3.510000,3.530000,3.234769,49300
2014-03-14,3.530000,3.530000,3.470000,3.470000,3.179787,56000
2014-03-17,3.510000,3.510000,3.450000,3.450000,3.161460,32200
2014-03-18,3.430000,3.470000,3.380000,3.390000,3.106478,105400
2014-03-19,3.410000,3.570000,3.390000,3.490000,3.198115,302000
2014-03-20,3.490000,3.660000,3.470000,3.570000,3.271424,43200
2014-03-21,3.590000,3.660000,3.540000,3.610000,3.308078,142600
2014-03-24,3.650000,3.660000,3.580000,3.630000,3.326406,28900
2014-03-25,3.600000,3.660000,3.600000,3.650000,3.344733,504700
2014-03-26,3.630000,3.680000,3.630000,3.640000,3.335570,27300
2014-03-27,3.630000,3.820000,3.630000,3.730000,3.418042,198200
