Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,23.580000,23.580000,22.639999,22.950001,20.238739,849700
2014-01-03,22.709999,23.020000,22.360001,22.730000,20.044725,570000
2014-01-06,22.459999,22.780001,22.280001,22.690001,20.009457,762300
2014-01-07,22.750000,22.990000,22.410000,22.549999,19.885990,1065200
2014-01-08,22.500000,23.010000,22.350000,22.500000,19.841902,747300
2014-01-09,22.410000,22.610001,21.900000,22.299999,19.665529,1038000
2014-01-10,22.000000,22.959999,22.000000,22.600000,19.930082,872100
2014-01-13,22.500000,22.520000,21.959999,22.129999,19.515610,1056400
2014-01-14,22.000000,22.010000,21.629999,21.780001,19.206963,1109200
2014-01-15,21.830000,22.290001,21.790001,22.020000,19.418612,832200
2014-01-16,22.000000,22.450001,21.910000,22.080000,19.471518,820200
2014-01-17,22.139999,22.309999,21.799999,21.830000,19.251055,858500
2014-01-20,21.700001,21.799999,21.389999,21.530001,18.986496,220200
2014-01-21,21.110001,21.110001,21.110001,21.120001,18.624931,749800
2014-01-22,21.059999,21.610001,20.950001,21.459999,18.924763,1010600
2014-01-23,21.299999,21.750000,21.170000,21.170000,18.669025,870100
2014-01-24,20.740000,21.780001,20.740000,21.309999,18.792486,929200
2014-01-27,21.260000,21.540001,20.830000,20.830000,18.369190,996400
2014-01-28,21.180000,21.180000,20.719999,20.830000,18.369190,863000
2014-01-29,20.760000,21.430000,20.680000,21.250000,18.739571,1275200
2014-01-30,21.120001,21.600000,20.950001,21.139999,18.642569,837400
2014-01-31,20.750000,21.420000,20.650000,21.420000,18.889490,1899500
2014-02-03,21.340000,21.400000,20.389999,20.480000,18.060535,844300
2014-02-04,20.389999,20.660000,20.139999,20.490000,18.069353,1228500
2014-02-05,20.540001,20.540001,19.980000,20.250000,17.857712,1182100
2014-02-06,20.420000,20.900000,20.240000,20.780001,18.325094,1204700
2014-02-07,20.780001,21.280001,20.680000,21.209999,18.704298,1193800
2014-02-10,20.969999,21.240000,20.299999,20.360001,17.954718,983500
2014-02-11,20.510000,20.760000,20.110001,20.549999,18.122269,1063300
2014-02-12,20.510000,20.540001,19.760000,19.920000,17.566694,1500200
2014-02-13,19.809999,20.080000,19.629999,19.990000,17.628424,1974400
2014-02-14,20.190001,20.190001,19.860001,20.059999,17.690155,1115600
2014-02-17,20.090000,20.129999,19.670000,19.670000,17.346230,863300
2014-02-18,19.650000,19.790001,18.420000,18.650000,16.446730,906400
2014-02-19,18.420000,19.139999,18.400000,19.080000,16.825930,1095800
2014-02-20,18.889999,19.680000,18.700001,19.160000,16.896482,1233100
2014-02-21,19.209999,19.469999,18.500000,18.530001,16.340904,1289700
